NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:05:53 2026

Terramodel  Project: mc10.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 5608.000 to End Ch 13848.485. Name:MC10

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
       1,  5608.000,      0.000,         ,         ,   776865.420,  6287087.334, CH 5608.000           ,        ,
       2,  5610.000,      0.000,         ,         ,   776863.441,  6287087.050, CH 5610.000           ,        ,
       3,  5620.000,      0.000,         ,         ,   776853.542,  6287085.630, CH 5620.000           ,        ,
       4,  5630.000,      0.000,         ,         ,   776843.643,  6287084.211, CH 5630.000           ,        ,
       5,  5640.000,      0.000,         ,         ,   776833.744,  6287082.792, CH 5640.000           ,        ,
       6,  5650.000,      0.000,         ,         ,   776823.846,  6287081.372, CH 5650.000           ,        ,
       7,  5660.000,      0.000,         ,         ,   776813.947,  6287079.953, CH 5660.000           ,        ,
       8,  5670.000,      0.000,         ,         ,   776804.048,  6287078.533, CH 5670.000           ,        ,
       9,  5680.000,      0.000,         ,         ,   776794.149,  6287077.114, CH 5680.000           ,        ,
      10,  5690.000,      0.000,         ,         ,   776784.251,  6287075.694, CH 5690.000           ,        ,
      11,  5700.000,      0.000,         ,         ,   776774.352,  6287074.275, CH 5700.000           ,        ,
      12,  5710.000,      0.000,         ,         ,   776764.453,  6287072.855, CH 5710.000           ,        ,
      13,  5720.000,      0.000,         ,         ,   776754.554,  6287071.436, CH 5720.000           ,        ,
      14,  5730.000,      0.000,         ,         ,   776744.656,  6287070.016, CH 5730.000           ,        ,
      15,  5740.000,      0.000,         ,         ,   776734.757,  6287068.597, CH 5740.000           ,        ,
      16,  5750.000,     -0.000,         ,         ,   776724.858,  6287067.177, CH 5750.000           ,        ,
      17,  5760.000,      0.000,         ,         ,   776714.959,  6287065.758, CH 5760.000           ,        ,
      18,  5770.000,      0.000,         ,         ,   776705.061,  6287064.339, CH 5770.000           ,        ,
      19,  5780.000,      0.000,         ,         ,   776695.162,  6287062.919, CH 5780.000           ,        ,
      20,  5790.000,      0.000,         ,         ,   776685.263,  6287061.500, CH 5790.000           ,        ,
      21,  5800.000,      0.000,         ,         ,   776675.364,  6287060.080, CH 5800.000           ,        ,
