NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:12:24 2026

Terramodel  Project: mc20.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 3084.323 to End Ch 5123.751. Name:MC20

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
       1,  3084.323,      0.000,         ,         ,   230695.214,  6287553.457, CH 3084.323           ,        ,
       2,  3090.000,     -0.000,         ,         ,   230690.534,  6287550.243, CH 3090.000           ,        ,
       3,  3100.000,      0.000,         ,         ,   230682.292,  6287544.581, CH 3100.000           ,        ,
       4,  3110.000,      0.000,         ,         ,   230674.049,  6287538.918, CH 3110.000           ,        ,
       5,  3120.000,      0.000,         ,         ,   230665.806,  6287533.256, CH 3120.000           ,        ,
       6,  3130.000,      0.000,         ,         ,   230657.564,  6287527.594, CH 3130.000           ,        ,
       7,  3140.000,      0.000,         ,         ,   230649.321,  6287521.932, CH 3140.000           ,        ,
       8,  3150.000,     -0.000,         ,         ,   230641.079,  6287516.270, CH 3150.000           ,        ,
       9,  3160.000,     -0.000,         ,         ,   230632.836,  6287510.608, CH 3160.000           ,        ,
      10,  3170.000,     -0.000,         ,         ,   230624.593,  6287504.946, CH 3170.000           ,        ,
      11,  3180.000,      0.000,         ,         ,   230616.351,  6287499.284, CH 3180.000           ,        ,
      12,  3190.000,      0.000,         ,         ,   230608.108,  6287493.622, CH 3190.000           ,        ,
      13,  3200.000,      0.000,         ,         ,   230599.865,  6287487.960, CH 3200.000           ,        ,
      14,  3210.000,      0.000,         ,         ,   230591.623,  6287482.298, CH 3210.000           ,        ,
      15,  3220.000,      0.000,         ,         ,   230583.380,  6287476.636, CH 3220.000           ,        ,
      16,  3230.000,     -0.000,         ,         ,   230575.138,  6287470.973, CH 3230.000           ,        ,
      17,  3240.000,     -0.000,         ,         ,   230566.895,  6287465.311, CH 3240.000           ,        ,
      18,  3250.000,     -0.000,         ,         ,   230558.652,  6287459.649, CH 3250.000           ,        ,
      19,  3260.000,      0.000,         ,         ,   230550.410,  6287453.987, CH 3260.000           ,        ,
      20,  3270.000,      0.000,         ,         ,   230542.167,  6287448.325, CH 3270.000           ,        ,
      21,  3280.000,      0.000,         ,         ,   230533.924,  6287442.663, CH 3280.000           ,        ,
      22,  3290.000,      0.000,         ,         ,   230525.682,  6287437.001, CH 3290.000           ,        ,
      23,  3300.000,      0.000,         ,         ,   230517.439,  6287431.339, CH 3300.000           ,        ,
      24,  3310.000,     -0.000,         ,         ,   230509.197,  6287425.677, CH 3310.000           ,        ,
      25,  3320.000,     -0.000,         ,         ,   230500.954,  6287420.015, CH 3320.000           ,        ,
