NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:14:58 2026

Terramodel  Project: mc30.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 0.000 to End Ch 3285.163. Name:MC30

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
       1,     0.000,      0.000,         ,         ,   232057.316,  6276704.561, CH 0.000              ,        ,
       2,     2.522,      0.000,         ,         ,   232058.202,  6276702.200, CH 2.522              ,        ,
       3,    10.000,     -0.000,         ,         ,   232062.432,  6276696.127, CH 10.000             ,        ,
       4,    20.000,      0.000,         ,         ,   232071.548,  6276692.487, CH 20.000             ,        ,
       5,    26.365,      0.000,         ,         ,   232077.779,  6276693.529, CH 26.365             ,        ,
       6,    30.000,      0.000,         ,         ,   232081.158,  6276694.870, CH 30.000             ,        ,
       7,    40.000,      0.000,         ,         ,   232090.453,  6276698.559, CH 40.000             ,        ,
       8,    50.000,      0.000,         ,         ,   232099.747,  6276702.248, CH 50.000             ,        ,
       9,    60.000,     -0.000,         ,         ,   232109.042,  6276705.937, CH 60.000             ,        ,
      10,    70.000,     -0.000,         ,         ,   232118.337,  6276709.626, CH 70.000             ,        ,
      11,    80.000,      0.000,         ,         ,   232127.631,  6276713.315, CH 80.000             ,        ,
      12,    90.000,      0.000,         ,         ,   232136.926,  6276717.004, CH 90.000             ,        ,
      13,   100.000,     -0.000,         ,         ,   232146.221,  6276720.693, CH 100.000            ,        ,
      14,   104.158,      0.000,         ,         ,   232150.085,  6276722.227, CH 104.158            ,        ,
      15,   110.000,      0.000,         ,         ,   232155.669,  6276723.920, CH 110.000            ,        ,
      16,   120.000,     -0.000,         ,         ,   232165.612,  6276724.598, CH 120.000            ,        ,
      17,   130.000,      0.000,         ,         ,   232175.343,  6276722.446, CH 130.000            ,        ,
      18,   140.000,      0.000,         ,         ,   232184.073,  6276717.639, CH 140.000            ,        ,
      19,   150.000,     -0.000,         ,         ,   232191.094,  6276710.566, CH 150.000            ,        ,
      20,   160.000,      0.000,         ,         ,   232195.837,  6276701.801, CH 160.000            ,        ,
      21,   170.000,      0.000,         ,         ,   232197.918,  6276692.054, CH 170.000            ,        ,
      22,   179.445,      0.000,         ,         ,   232197.283,  6276682.660, CH 179.445            ,        ,
      23,   180.000,     -0.000,         ,         ,   232197.171,  6276682.116, CH 180.000            ,        ,
      24,   190.000,      0.000,         ,         ,   232195.161,  6276672.320, CH 190.000            ,        ,
      25,   200.000,      0.000,         ,         ,   232193.150,  6276662.524, CH 200.000            ,        ,
      26,   210.000,     -0.000,         ,         ,   232191.140,  6276652.728, CH 210.000            ,        ,
      27,   220.000,      0.000,         ,         ,   232189.130,  6276642.932, CH 220.000            ,        ,
      28,   221.848,      0.000,         ,         ,   232188.758,  6276641.122, CH 221.848            ,        ,
      29,   230.000,     -0.000,         ,         ,   232186.477,  6276633.305, CH 230.000            ,        ,
      30,   240.000,     -0.000,         ,         ,   232181.996,  6276624.384, CH 240.000            ,        ,
      31,   250.000,      0.000,         ,         ,   232175.832,  6276616.530, CH 250.000            ,        ,
      32,   260.000,      0.000,         ,         ,   232168.231,  6276610.058, CH 260.000            ,        ,
      33,   260.652,      0.000,         ,         ,   232167.693,  6276609.691, CH 260.652            ,        ,
      34,   270.000,      0.000,         ,         ,   232159.937,  6276604.472, CH 270.000            ,        ,
      35,   280.000,     -0.000,         ,         ,   232151.641,  6276598.889, CH 280.000            ,        ,
