"ALIGN Z56->MC40 HORIZONTAL POINTS",,,,,,,,
"PT","CHAINAGE","EASTING","NORTHING","HEIGHT","BEARING","RAD/SPIRAL","A.LENGTH","DEFL.ANGLE"
"IP 1","73.849","232837.634","6292962.635","-999.000","130°23'31.89""",,,
"IP 2","113.509","232867.971","6292936.823","-999.000","","R = -350.000","79.321","12°59'05.81"""
"CT","153.170","232903.331","6292918.489","-999.000","117°24'26.08""",,,
"TC","259.957","232998.132","6292869.333","-999.000","117°24'26.08""","","",""
"IP 3","291.985","233026.644","6292854.549","-999.000","","R = -350.000","64.056","10°29'09.99"""
"CT","324.013","233057.372","6292845.201","-999.000","106°55'16.10""",,,
"TC","364.123","233095.745","6292833.527","-999.000","106°55'16.10""","","",""
"IP 4","422.262","233151.430","6292816.586","-999.000","","R = 1000.000","116.279","6°39'44.19"""
"CT","480.401","233204.774","6292793.299","-999.000","113°35'00.29""",,,
"IP 5","500.000","233222.736","6292785.458","-999.000","113°35'00.29""",,,
