NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:16:06 2026

Terramodel  Project: mc40.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 192.000 to End Ch 500.000. Name:MC40

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
       1,   192.000,      0.000,         ,         ,   233352.728,  6293507.846, CH 192.000            ,        ,
       2,   200.000,     -0.000,         ,         ,   233359.665,  6293503.860, CH 200.000            ,        ,
       3,   210.000,     -0.000,         ,         ,   233368.336,  6293498.879, CH 210.000            ,        ,
       4,   220.000,      0.000,         ,         ,   233377.006,  6293493.897, CH 220.000            ,        ,
       5,   230.000,     -0.000,         ,         ,   233385.677,  6293488.915, CH 230.000            ,        ,
       6,   240.000,      0.000,         ,         ,   233394.348,  6293483.933, CH 240.000            ,        ,
       7,   250.000,      0.000,         ,         ,   233403.019,  6293478.952, CH 250.000            ,        ,
       8,   250.208,     -0.000,         ,         ,   233403.199,  6293478.848, CH 250.208            ,        ,
       9,   260.000,      0.000,         ,         ,   233411.737,  6293474.053, CH 260.000            ,        ,
      10,   270.000,     -0.000,         ,         ,   233420.551,  6293469.330, CH 270.000            ,        ,
      11,   280.000,      0.000,         ,         ,   233429.458,  6293464.785, CH 280.000            ,        ,
      12,   290.000,     -0.000,         ,         ,   233438.454,  6293460.418, CH 290.000            ,        ,
      13,   300.000,     -0.000,         ,         ,   233447.535,  6293456.232, CH 300.000            ,        ,
      14,   310.000,     -0.000,         ,         ,   233456.699,  6293452.228, CH 310.000            ,        ,
      15,   320.000,      0.000,         ,         ,   233465.940,  6293448.409, CH 320.000            ,        ,
      16,   330.000,     -0.000,         ,         ,   233475.257,  6293444.775, CH 330.000            ,        ,
      17,   334.737,      0.000,         ,         ,   233479.695,  6293443.119, CH 334.737            ,        ,
      18,   340.000,      0.000,         ,         ,   233484.634,  6293441.302, CH 340.000            ,        ,
      19,   350.000,      0.000,         ,         ,   233494.020,  6293437.850, CH 350.000            ,        ,
      20,   360.000,     -0.000,         ,         ,   233503.405,  6293434.399, CH 360.000            ,        ,
      21,   370.000,     -0.000,         ,         ,   233512.790,  6293430.947, CH 370.000            ,        ,
      22,   373.185,      0.000,         ,         ,   233515.780,  6293429.847, CH 373.185            ,        ,
      23,   380.000,      0.000,         ,         ,   233522.159,  6293427.451, CH 380.000            ,        ,
      24,   390.000,     -0.000,         ,         ,   233531.460,  6293423.779, CH 390.000            ,        ,
      25,   400.000,      0.000,         ,         ,   233540.686,  6293419.921, CH 400.000            ,        ,
      26,   410.000,      0.000,         ,         ,   233549.833,  6293415.879, CH 410.000            ,        ,
      27,   420.000,     -0.000,         ,         ,   233558.897,  6293411.656, CH 420.000            ,        ,
      28,   424.021,      0.000,         ,         ,   233562.517,  6293409.907, CH 424.021            ,        ,
      29,   430.000,      0.000,         ,         ,   233567.890,  6293407.284, CH 430.000            ,        ,
      30,   440.000,     -0.000,         ,         ,   233576.877,  6293402.897, CH 440.000            ,        ,
      31,   450.000,     -0.000,         ,         ,   233585.864,  6293398.511, CH 450.000            ,        ,
      32,   460.000,      0.000,         ,         ,   233594.850,  6293394.124, CH 460.000            ,        ,
      33,   470.000,      0.000,         ,         ,   233603.837,  6293389.737, CH 470.000            ,        ,
      34,   480.000,      0.000,         ,         ,   233612.823,  6293385.351, CH 480.000            ,        ,
      35,   490.000,     -0.000,         ,         ,   233621.810,  6293380.964, CH 490.000            ,        ,
      36,   500.000,      0.000,         ,         ,   233630.796,  6293376.578, CH 500.000            ,        ,
