NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Mon Mar 09 08:11:52 2026

Terramodel  Project: mc40.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 73.849 to End Ch 500.000. Name:MC40

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
       1,    73.849,      0.000,         ,         ,   232837.634,  6292962.635, CH 73.849             ,        ,
       2,    80.000,      0.000,         ,         ,   232842.354,  6292958.690, CH 80.000             ,        ,
       3,    90.000,      0.000,         ,         ,   232850.172,  6292952.456, CH 90.000             ,        ,
       4,   100.000,     -0.000,         ,         ,   232858.166,  6292946.448, CH 100.000            ,        ,
       5,   110.000,      0.000,         ,         ,   232866.328,  6292940.670, CH 110.000            ,        ,
       6,   120.000,      0.000,         ,         ,   232874.651,  6292935.129, CH 120.000            ,        ,
       7,   130.000,      0.000,         ,         ,   232883.130,  6292929.827, CH 130.000            ,        ,
       8,   140.000,      0.000,         ,         ,   232891.756,  6292924.769, CH 140.000            ,        ,
       9,   150.000,      0.000,         ,         ,   232900.524,  6292919.960, CH 150.000            ,        ,
      10,   160.000,     -0.000,         ,         ,   232909.395,  6292915.345, CH 160.000            ,        ,
      11,   170.000,      0.000,         ,         ,   232918.272,  6292910.742, CH 170.000            ,        ,
      12,   180.000,      0.000,         ,         ,   232927.150,  6292906.138, CH 180.000            ,        ,
      13,   190.000,      0.000,         ,         ,   232936.027,  6292901.535, CH 190.000            ,        ,
      14,   200.000,     -0.000,         ,         ,   232944.905,  6292896.932, CH 200.000            ,        ,
      15,   210.000,     -0.000,         ,         ,   232953.782,  6292892.329, CH 210.000            ,        ,
      16,   220.000,     -0.000,         ,         ,   232962.660,  6292887.726, CH 220.000            ,        ,
      17,   230.000,      0.000,         ,         ,   232971.538,  6292883.123, CH 230.000            ,        ,
      18,   240.000,      0.000,         ,         ,   232980.415,  6292878.520, CH 240.000            ,        ,
      19,   250.000,      0.000,         ,         ,   232989.293,  6292873.917, CH 250.000            ,        ,
      20,   260.000,      0.000,         ,         ,   232998.170,  6292869.313, CH 260.000            ,        ,
      21,   270.000,     -0.000,         ,         ,   233007.113,  6292864.839, CH 270.000            ,        ,
      22,   280.000,      0.000,         ,         ,   233016.180,  6292860.622, CH 280.000            ,        ,
      23,   290.000,      0.000,         ,         ,   233025.363,  6292856.665, CH 290.000            ,        ,
      24,   300.000,     -0.000,         ,         ,   233034.656,  6292852.973, CH 300.000            ,        ,
      25,   310.000,      0.000,         ,         ,   233044.051,  6292849.547, CH 310.000            ,        ,
      26,   320.000,      0.000,         ,         ,   233053.540,  6292846.391, CH 320.000            ,        ,
      27,   330.000,      0.000,         ,         ,   233063.100,  6292843.459, CH 330.000            ,        ,
      28,   340.000,     -0.000,         ,         ,   233072.667,  6292840.548, CH 340.000            ,        ,
      29,   350.000,     -0.000,         ,         ,   233082.234,  6292837.637, CH 350.000            ,        ,
      30,   360.000,      0.000,         ,         ,   233091.801,  6292834.727, CH 360.000            ,        ,
      31,   370.000,      0.000,         ,         ,   233101.363,  6292831.800, CH 370.000            ,        ,
      32,   380.000,     -0.000,         ,         ,   233110.898,  6292828.785, CH 380.000            ,        ,
      33,   390.000,      0.000,         ,         ,   233120.402,  6292825.676, CH 390.000            ,        ,
      34,   400.000,     -0.000,         ,         ,   233129.875,  6292822.471, CH 400.000            ,        ,
      35,   410.000,      0.000,         ,         ,   233139.315,  6292819.172, CH 410.000            ,        ,
      36,   420.000,      0.000,         ,         ,   233148.721,  6292815.779, CH 420.000            ,        ,
      37,   430.000,     -0.000,         ,         ,   233158.094,  6292812.292, CH 430.000            ,        ,
      38,   440.000,      0.000,         ,         ,   233167.430,  6292808.711, CH 440.000            ,        ,
      39,   450.000,      0.000,         ,         ,   233176.731,  6292805.037, CH 450.000            ,        ,
      40,   460.000,     -0.000,         ,         ,   233185.995,  6292801.270, CH 460.000            ,        ,
      41,   470.000,      0.000,         ,         ,   233195.220,  6292797.411, CH 470.000            ,        ,
      42,   480.000,     -0.000,         ,         ,   233204.406,  6292793.460, CH 480.000            ,        ,
      43,   490.000,     -0.000,         ,         ,   233213.571,  6292789.459, CH 490.000            ,        ,
      44,   500.000,      0.000,         ,         ,   233222.736,  6292785.458, CH 500.000            ,        ,
