NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:18:40 2026

Terramodel  Project: mc50.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 0.000 to End Ch 1568.293. Name:MC50

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
       1,     0.000,      0.000,         ,         ,   243377.523,  6286008.054, CH 0.000              ,        ,
       2,     7.858,      0.000,         ,         ,   243369.755,  6286006.879, CH 7.858              ,        ,
       3,    10.000,     -0.000,         ,         ,   243367.652,  6286006.476, CH 10.000             ,        ,
       4,    20.000,      0.000,         ,         ,   243357.831,  6286004.593, CH 20.000             ,        ,
       5,    30.000,     -0.000,         ,         ,   243348.010,  6286002.711, CH 30.000             ,        ,
       6,    40.000,      0.000,         ,         ,   243338.188,  6286000.828, CH 40.000             ,        ,
       7,    50.000,      0.000,         ,         ,   243328.367,  6285998.946, CH 50.000             ,        ,
       8,    60.000,     -0.000,         ,         ,   243318.546,  6285997.063, CH 60.000             ,        ,
       9,    70.000,      0.000,         ,         ,   243308.725,  6285995.181, CH 70.000             ,        ,
      10,    80.000,     -0.000,         ,         ,   243298.904,  6285993.298, CH 80.000             ,        ,
      11,    90.000,      0.000,         ,         ,   243289.082,  6285991.416, CH 90.000             ,        ,
      12,   100.000,     -0.000,         ,         ,   243279.261,  6285989.533, CH 100.000            ,        ,
      13,   110.000,      0.000,         ,         ,   243269.440,  6285987.651, CH 110.000            ,        ,
      14,   112.730,      0.000,         ,         ,   243266.758,  6285987.137, CH 112.730            ,        ,
      15,   120.000,      0.000,         ,         ,   243259.655,  6285985.596, CH 120.000            ,        ,
      16,   130.000,     -0.000,         ,         ,   243250.022,  6285982.918, CH 130.000            ,        ,
      17,   140.000,      0.000,         ,         ,   243240.589,  6285979.604, CH 140.000            ,        ,
      18,   150.000,     -0.000,         ,         ,   243231.398,  6285975.669, CH 150.000            ,        ,
      19,   160.000,     -0.000,         ,         ,   243222.489,  6285971.131, CH 160.000            ,        ,
      20,   170.000,     -0.000,         ,         ,   243213.902,  6285966.009, CH 170.000            ,        ,
      21,   170.239,      0.000,         ,         ,   243213.702,  6285965.880, CH 170.239            ,        ,
      22,   180.000,     -0.000,         ,         ,   243205.498,  6285960.589, CH 180.000            ,        ,
      23,   190.000,     -0.000,         ,         ,   243197.094,  6285955.170, CH 190.000            ,        ,
      24,   200.000,     -0.000,         ,         ,   243188.690,  6285949.750, CH 200.000            ,        ,
      25,   210.000,      0.000,         ,         ,   243180.286,  6285944.331, CH 210.000            ,        ,
      26,   220.000,      0.000,         ,         ,   243171.882,  6285938.911, CH 220.000            ,        ,
      27,   222.506,     -0.000,         ,         ,   243169.776,  6285937.553, CH 222.506            ,        ,
      28,   230.000,     -0.000,         ,         ,   243163.332,  6285933.731, CH 230.000            ,        ,
      29,   240.000,      0.000,         ,         ,   243154.321,  6285929.403, CH 240.000            ,        ,
      30,   250.000,      0.000,         ,         ,   243144.924,  6285925.996, CH 250.000            ,        ,
      31,   260.000,      0.000,         ,         ,   243135.234,  6285923.544, CH 260.000            ,        ,
      32,   270.000,      0.000,         ,         ,   243125.347,  6285922.072, CH 270.000            ,        ,
      33,   280.000,      0.000,         ,         ,   243115.363,  6285921.594, CH 280.000            ,        ,
      34,   290.000,      0.000,         ,         ,   243105.380,  6285922.115, CH 290.000            ,        ,
      35,   291.946,      0.000,         ,         ,   243103.446,  6285922.332, CH 291.946            ,        ,
      36,   300.000,     -0.000,         ,         ,   243095.452,  6285923.310, CH 300.000            ,        ,
      37,   310.000,      0.000,         ,         ,   243085.526,  6285924.523, CH 310.000            ,        ,
      38,   320.000,      0.000,         ,         ,   243075.600,  6285925.737, CH 320.000            ,        ,
      39,   330.000,      0.000,         ,         ,   243065.674,  6285926.950, CH 330.000            ,        ,
      40,   340.000,      0.000,         ,         ,   243055.748,  6285928.163, CH 340.000            ,        ,
      41,   350.000,      0.000,         ,         ,   243045.821,  6285929.377, CH 350.000            ,        ,
      42,   360.000,      0.000,         ,         ,   243035.895,  6285930.590, CH 360.000            ,        ,
      43,   370.000,      0.000,         ,         ,   243025.969,  6285931.804, CH 370.000            ,        ,
      44,   380.000,      0.000,         ,         ,   243016.043,  6285933.017, CH 380.000            ,        ,
      45,   390.000,      0.000,         ,         ,   243006.117,  6285934.230, CH 390.000            ,        ,
      46,   400.000,      0.000,         ,         ,   242996.191,  6285935.444, CH 400.000            ,        ,
      47,   410.000,      0.000,         ,         ,   242986.265,  6285936.657, CH 410.000            ,        ,
      48,   420.000,     -0.000,         ,         ,   242976.339,  6285937.871, CH 420.000            ,        ,
      49,   430.000,     -0.000,         ,         ,   242966.413,  6285939.084, CH 430.000            ,        ,
      50,   440.000,     -0.000,         ,         ,   242956.487,  6285940.298, CH 440.000            ,        ,
      51,   450.000,     -0.000,         ,         ,   242946.560,  6285941.511, CH 450.000            ,        ,
      52,   460.000,     -0.000,         ,         ,   242936.634,  6285942.724, CH 460.000            ,        ,
      53,   470.000,     -0.000,         ,         ,   242926.708,  6285943.938, CH 470.000            ,        ,
      54,   471.964,      0.000,         ,         ,   242924.759,  6285944.176, CH 471.964            ,        ,
      55,   480.000,      0.000,         ,         ,   242916.771,  6285945.053, CH 480.000            ,        ,
      56,   490.000,      0.000,         ,         ,   242906.804,  6285945.867, CH 490.000            ,        ,
      57,   500.000,      0.000,         ,         ,   242896.818,  6285946.374, CH 500.000            ,        ,
      58,   510.000,      0.000,         ,         ,   242886.820,  6285946.574, CH 510.000            ,        ,
      59,   520.000,      0.000,         ,         ,   242876.821,  6285946.466, CH 520.000            ,        ,
      60,   530.000,      0.000,         ,         ,   242866.830,  6285946.051, CH 530.000            ,        ,
      61,   540.000,     -0.000,         ,         ,   242856.857,  6285945.329, CH 540.000            ,        ,
      62,   550.000,      0.000,         ,         ,   242846.910,  6285944.300, CH 550.000            ,        ,
      63,   560.000,      0.000,         ,         ,   242837.000,  6285942.965, CH 560.000            ,        ,
      64,   570.000,     -0.000,         ,         ,   242827.136,  6285941.326, CH 570.000            ,        ,
