NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:20:42 2026

Terramodel  Project: mc60.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch -55.000 to End Ch 258.000. Name:MC60

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
       1,   -55.000,      0.000,         ,         ,   243676.452,  6286000.577, CH -55.000            ,        ,
       2,   -50.000,     -0.000,         ,         ,   243672.550,  6285997.451, CH -50.000            ,        ,
       3,   -40.000,      0.000,         ,         ,   243664.746,  6285991.198, CH -40.000            ,        ,
       4,   -30.000,     -0.000,         ,         ,   243656.942,  6285984.945, CH -30.000            ,        ,
       5,   -22.760,     -0.000,         ,         ,   243651.292,  6285980.418, CH -22.760            ,        ,
       6,   -20.000,      0.000,         ,         ,   243649.099,  6285978.742, CH -20.000            ,        ,
       7,   -10.000,     -0.000,         ,         ,   243640.564,  6285973.554, CH -10.000            ,        ,
       8,     0.000,     -0.000,         ,         ,   243631.286,  6285969.854, CH 0.000              ,        ,
       9,    10.000,      0.000,         ,         ,   243621.523,  6285967.744, CH 10.000             ,        ,
      10,    20.000,      0.000,         ,         ,   243611.545,  6285967.283, CH 20.000             ,        ,
      11,    29.481,      0.000,         ,         ,   243602.137,  6285968.381, CH 29.481             ,        ,
      12,    30.000,      0.000,         ,         ,   243601.629,  6285968.482, CH 30.000             ,        ,
      13,    40.000,      0.000,         ,         ,   243591.818,  6285970.421, CH 40.000             ,        ,
      14,    50.000,      0.000,         ,         ,   243582.008,  6285972.361, CH 50.000             ,        ,
      15,    60.000,     -0.000,         ,         ,   243572.198,  6285974.300, CH 60.000             ,        ,
      16,    70.000,     -0.000,         ,         ,   243562.388,  6285976.240, CH 70.000             ,        ,
      17,    80.000,     -0.000,         ,         ,   243552.578,  6285978.179, CH 80.000             ,        ,
      18,    90.000,     -0.000,         ,         ,   243542.768,  6285980.119, CH 90.000             ,        ,
      19,   100.000,     -0.000,         ,         ,   243532.958,  6285982.058, CH 100.000            ,        ,
      20,   110.000,     -0.000,         ,         ,   243523.148,  6285983.998, CH 110.000            ,        ,
      21,   120.000,     -0.000,         ,         ,   243513.338,  6285985.937, CH 120.000            ,        ,
      22,   130.000,     -0.000,         ,         ,   243503.527,  6285987.877, CH 130.000            ,        ,
      23,   140.000,     -0.000,         ,         ,   243493.717,  6285989.816, CH 140.000            ,        ,
      24,   150.000,     -0.000,         ,         ,   243483.907,  6285991.756, CH 150.000            ,        ,
      25,   160.000,     -0.000,         ,         ,   243474.097,  6285993.695, CH 160.000            ,        ,
      26,   170.000,     -0.000,         ,         ,   243464.287,  6285995.635, CH 170.000            ,        ,
      27,   180.000,     -0.000,         ,         ,   243454.477,  6285997.574, CH 180.000            ,        ,
      28,   190.000,     -0.000,         ,         ,   243444.667,  6285999.514, CH 190.000            ,        ,
      29,   200.000,      0.000,         ,         ,   243434.857,  6286001.453, CH 200.000            ,        ,
      30,   210.000,      0.000,         ,         ,   243425.047,  6286003.393, CH 210.000            ,        ,
      31,   220.000,      0.000,         ,         ,   243415.236,  6286005.332, CH 220.000            ,        ,
      32,   227.402,      0.000,         ,         ,   243407.975,  6286006.768, CH 227.402            ,        ,
      33,   230.000,      0.000,         ,         ,   243405.420,  6286007.239, CH 230.000            ,        ,
      34,   240.000,      0.000,         ,         ,   243395.495,  6286008.427, CH 240.000            ,        ,
      35,   250.000,      0.000,         ,         ,   243385.501,  6286008.619, CH 250.000            ,        ,
      36,   258.000,     -0.000,         ,         ,   243377.523,  6286008.054, CH 258.000            ,        ,
