NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:24:50 2026

Terramodel  Project: mc70.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 2881.229 to End Ch 8721.104. Name:MC70

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
       1,  2881.229,      0.000,         ,         ,   238958.223,  6287811.901, CH 2881.229           ,        ,
       2,  2890.000,      0.000,         ,         ,   238965.316,  6287806.741, CH 2890.000           ,        ,
       3,  2900.000,      0.000,         ,         ,   238973.403,  6287800.858, CH 2900.000           ,        ,
       4,  2910.000,     -0.000,         ,         ,   238981.490,  6287794.976, CH 2910.000           ,        ,
       5,  2919.657,     -0.000,         ,         ,   238989.299,  6287789.295, CH 2919.657           ,        ,
       6,  2920.000,     -0.000,         ,         ,   238989.576,  6287789.093, CH 2920.000           ,        ,
       7,  2930.000,      0.000,         ,         ,   238997.637,  6287783.175, CH 2930.000           ,        ,
       8,  2940.000,     -0.000,         ,         ,   239005.648,  6287777.189, CH 2940.000           ,        ,
       9,  2950.000,      0.000,         ,         ,   239013.608,  6287771.137, CH 2950.000           ,        ,
      10,  2960.000,     -0.000,         ,         ,   239021.518,  6287765.019, CH 2960.000           ,        ,
      11,  2968.432,      0.000,         ,         ,   239028.148,  6287759.809, CH 2968.432           ,        ,
      12,  2970.000,     -0.000,         ,         ,   239029.378,  6287758.836, CH 2970.000           ,        ,
      13,  2980.000,      0.000,         ,         ,   239037.219,  6287752.630, CH 2980.000           ,        ,
      14,  2990.000,      0.000,         ,         ,   239045.060,  6287746.423, CH 2990.000           ,        ,
      15,  3000.000,     -0.000,         ,         ,   239052.901,  6287740.217, CH 3000.000           ,        ,
      16,  3010.000,     -0.000,         ,         ,   239060.742,  6287734.011, CH 3010.000           ,        ,
      17,  3020.000,      0.000,         ,         ,   239068.583,  6287727.805, CH 3020.000           ,        ,
      18,  3024.329,      0.000,         ,         ,   239071.978,  6287725.118, CH 3024.329           ,        ,
      19,  3030.000,     -0.000,         ,         ,   239076.423,  6287721.597, CH 3030.000           ,        ,
      20,  3040.000,     -0.000,         ,         ,   239084.246,  6287715.368, CH 3040.000           ,        ,
      21,  3050.000,      0.000,         ,         ,   239092.022,  6287709.081, CH 3050.000           ,        ,
      22,  3060.000,     -0.000,         ,         ,   239099.721,  6287702.699, CH 3060.000           ,        ,
      23,  3070.000,     -0.000,         ,         ,   239107.310,  6287696.187, CH 3070.000           ,        ,
      24,  3080.000,      0.000,         ,         ,   239114.756,  6287689.512, CH 3080.000           ,        ,
      25,  3084.329,      0.000,         ,         ,   239117.926,  6287686.564, CH 3084.329           ,        ,
      26,  3090.000,     -0.000,         ,         ,   239122.023,  6287682.643, CH 3090.000           ,        ,
      27,  3100.000,      0.000,         ,         ,   239129.091,  6287675.570, CH 3100.000           ,        ,
      28,  3110.000,      0.000,         ,         ,   239135.955,  6287668.298, CH 3110.000           ,        ,
      29,  3120.000,     -0.000,         ,         ,   239142.608,  6287660.832, CH 3120.000           ,        ,
      30,  3130.000,     -0.000,         ,         ,   239149.045,  6287653.180, CH 3130.000           ,        ,
      31,  3140.000,      0.000,         ,         ,   239155.260,  6287645.347, CH 3140.000           ,        ,
      32,  3144.721,     -0.000,         ,         ,   239158.116,  6287641.587, CH 3144.721           ,        ,
      33,  3150.000,     -0.000,         ,         ,   239161.250,  6287637.340, CH 3150.000           ,        ,
      34,  3160.000,     -0.000,         ,         ,   239167.031,  6287629.180, CH 3160.000           ,        ,
      35,  3170.000,      0.000,         ,         ,   239172.636,  6287620.899, CH 3170.000           ,        ,
      36,  3180.000,     -0.000,         ,         ,   239178.104,  6287612.526, CH 3180.000           ,        ,
      37,  3190.000,     -0.000,         ,         ,   239183.473,  6287604.090, CH 3190.000           ,        ,
      38,  3200.000,     -0.000,         ,         ,   239188.782,  6287595.616, CH 3200.000           ,        ,
      39,  3204.721,      0.000,         ,         ,   239191.280,  6287591.609, CH 3204.721           ,        ,
      40,  3210.000,     -0.000,         ,         ,   239194.072,  6287587.129, CH 3210.000           ,        ,
      41,  3220.000,      0.000,         ,         ,   239199.360,  6287578.642, CH 3220.000           ,        ,
      42,  3230.000,     -0.000,         ,         ,   239204.649,  6287570.155, CH 3230.000           ,        ,
      43,  3240.000,      0.000,         ,         ,   239209.938,  6287561.668, CH 3240.000           ,        ,
      44,  3250.000,     -0.000,         ,         ,   239215.227,  6287553.181, CH 3250.000           ,        ,
      45,  3260.000,      0.000,         ,         ,   239220.515,  6287544.694, CH 3260.000           ,        ,
      46,  3270.000,     -0.000,         ,         ,   239225.804,  6287536.207, CH 3270.000           ,        ,
      47,  3280.000,      0.000,         ,         ,   239231.093,  6287527.720, CH 3280.000           ,        ,
      48,  3290.000,     -0.000,         ,         ,   239236.382,  6287519.233, CH 3290.000           ,        ,
      49,  3300.000,      0.000,         ,         ,   239241.670,  6287510.746, CH 3300.000           ,        ,
      50,  3310.000,     -0.000,         ,         ,   239246.959,  6287502.259, CH 3310.000           ,        ,
      51,  3320.000,      0.000,         ,         ,   239252.248,  6287493.772, CH 3320.000           ,        ,
      52,  3330.000,     -0.000,         ,         ,   239257.537,  6287485.285, CH 3330.000           ,        ,
      53,  3340.000,      0.000,         ,         ,   239262.825,  6287476.798, CH 3340.000           ,        ,
      54,  3350.000,      0.000,         ,         ,   239268.114,  6287468.311, CH 3350.000           ,        ,
      55,  3360.000,      0.000,         ,         ,   239273.403,  6287459.824, CH 3360.000           ,        ,
      56,  3370.000,      0.000,         ,         ,   239278.692,  6287451.337, CH 3370.000           ,        ,
      57,  3371.910,     -0.000,         ,         ,   239279.702,  6287449.716, CH 3371.910           ,        ,
      58,  3380.000,     -0.000,         ,         ,   239284.049,  6287442.894, CH 3380.000           ,        ,
      59,  3390.000,      0.000,         ,         ,   239289.613,  6287434.585, CH 3390.000           ,        ,
      60,  3400.000,      0.000,         ,         ,   239295.382,  6287426.417, CH 3400.000           ,        ,
      61,  3410.000,     -0.000,         ,         ,   239301.354,  6287418.396, CH 3410.000           ,        ,
      62,  3420.000,      0.000,         ,         ,   239307.525,  6287410.527, CH 3420.000           ,        ,
      63,  3430.000,     -0.000,         ,         ,   239313.890,  6287402.815, CH 3430.000           ,        ,
      64,  3440.000,     -0.000,         ,         ,   239320.446,  6287395.264, CH 3440.000           ,        ,
      65,  3450.000,     -0.000,         ,         ,   239327.188,  6287387.880, CH 3450.000           ,        ,
      66,  3460.000,     -0.000,         ,         ,   239334.114,  6287380.666, CH 3460.000           ,        ,
      67,  3470.000,     -0.000,         ,         ,   239341.217,  6287373.628, CH 3470.000           ,        ,
      68,  3480.000,     -0.000,         ,         ,   239348.494,  6287366.769, CH 3480.000           ,        ,
      69,  3490.000,     -0.000,         ,         ,   239355.940,  6287360.095, CH 3490.000           ,        ,
      70,  3500.000,      0.000,         ,         ,   239363.551,  6287353.609, CH 3500.000           ,        ,
      71,  3510.000,     -0.000,         ,         ,   239371.322,  6287347.315, CH 3510.000           ,        ,
      72,  3520.000,      0.000,         ,         ,   239379.247,  6287341.217, CH 3520.000           ,        ,
      73,  3530.000,     -0.000,         ,         ,   239387.322,  6287335.319, CH 3530.000           ,        ,
      74,  3540.000,      0.000,         ,         ,   239395.543,  6287329.625, CH 3540.000           ,        ,
      75,  3550.000,      0.000,         ,         ,   239403.903,  6287324.138, CH 3550.000           ,        ,
      76,  3553.076,      0.000,         ,         ,   239406.502,  6287322.493, CH 3553.076           ,        ,
      77,  3560.000,      0.000,         ,         ,   239412.366,  6287318.811, CH 3560.000           ,        ,
      78,  3570.000,      0.000,         ,         ,   239420.835,  6287313.494, CH 3570.000           ,        ,
      79,  3580.000,      0.000,         ,         ,   239429.304,  6287308.177, CH 3580.000           ,        ,
      80,  3590.000,      0.000,         ,         ,   239437.774,  6287302.860, CH 3590.000           ,        ,
      81,  3600.000,     -0.000,         ,         ,   239446.243,  6287297.543, CH 3600.000           ,        ,
      82,  3602.993,      0.000,         ,         ,   239448.778,  6287295.952, CH 3602.993           ,        ,
      83,  3610.000,      0.000,         ,         ,   239454.703,  6287292.212, CH 3610.000           ,        ,
      84,  3620.000,      0.000,         ,         ,   239463.126,  6287286.822, CH 3620.000           ,        ,
      85,  3630.000,     -0.000,         ,         ,   239471.511,  6287281.373, CH 3630.000           ,        ,
      86,  3640.000,      0.000,         ,         ,   239479.857,  6287275.864, CH 3640.000           ,        ,
      87,  3650.000,      0.000,         ,         ,   239488.163,  6287270.295, CH 3650.000           ,        ,
      88,  3660.000,     -0.000,         ,         ,   239496.429,  6287264.667, CH 3660.000           ,        ,
      89,  3670.000,      0.000,         ,         ,   239504.654,  6287258.980, CH 3670.000           ,        ,
      90,  3680.000,     -0.000,         ,         ,   239512.839,  6287253.235, CH 3680.000           ,        ,
      91,  3690.000,     -0.000,         ,         ,   239520.982,  6287247.431, CH 3690.000           ,        ,
      92,  3700.000,      0.000,         ,         ,   239529.084,  6287241.570, CH 3700.000           ,        ,
      93,  3710.000,     -0.000,         ,         ,   239537.144,  6287235.650, CH 3710.000           ,        ,
      94,  3720.000,     -0.000,         ,         ,   239545.161,  6287229.673, CH 3720.000           ,        ,
      95,  3730.000,     -0.000,         ,         ,   239553.136,  6287223.639, CH 3730.000           ,        ,
      96,  3740.000,     -0.000,         ,         ,   239561.067,  6287217.549, CH 3740.000           ,        ,
      97,  3750.000,     -0.000,         ,         ,   239568.954,  6287211.401, CH 3750.000           ,        ,
      98,  3760.000,     -0.000,         ,         ,   239576.798,  6287205.198, CH 3760.000           ,        ,
      99,  3770.000,     -0.000,         ,         ,   239584.596,  6287198.939, CH 3770.000           ,        ,
     100,  3780.000,     -0.000,         ,         ,   239592.350,  6287192.624, CH 3780.000           ,        ,
     101,  3790.000,      0.000,         ,         ,   239600.059,  6287186.254, CH 3790.000           ,        ,
     102,  3800.000,      0.000,         ,         ,   239607.722,  6287179.829, CH 3800.000           ,        ,
     103,  3810.000,      0.000,         ,         ,   239615.338,  6287173.349, CH 3810.000           ,        ,
     104,  3820.000,     -0.000,         ,         ,   239622.909,  6287166.815, CH 3820.000           ,        ,
     105,  3830.000,      0.000,         ,         ,   239630.432,  6287160.228, CH 3830.000           ,        ,
     106,  3840.000,     -0.000,         ,         ,   239637.908,  6287153.586, CH 3840.000           ,        ,
     107,  3850.000,     -0.000,         ,         ,   239645.337,  6287146.892, CH 3850.000           ,        ,
     108,  3860.000,      0.000,         ,         ,   239652.717,  6287140.145, CH 3860.000           ,        ,
     109,  3870.000,     -0.000,         ,         ,   239660.049,  6287133.345, CH 3870.000           ,        ,
     110,  3880.000,      0.000,         ,         ,   239667.333,  6287126.492, CH 3880.000           ,        ,
     111,  3890.000,     -0.000,         ,         ,   239674.567,  6287119.589, CH 3890.000           ,        ,
     112,  3900.000,      0.000,         ,         ,   239681.752,  6287112.633, CH 3900.000           ,        ,
