NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:27:46 2026

Terramodel  Project: mc80.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch -35.352 to End Ch 4872.028. Name:MC80

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
       1,   -35.352,      0.000,         ,         ,   240087.491,  6278075.739, CH -35.352            ,        ,
       2,   -30.000,      0.000,         ,         ,   240090.110,  6278071.072, CH -30.000            ,        ,
       3,   -20.000,      0.000,         ,         ,   240095.003,  6278062.351, CH -20.000            ,        ,
       4,   -10.000,     -0.000,         ,         ,   240099.897,  6278053.630, CH -10.000            ,        ,
       5,    -0.000,     -0.000,         ,         ,   240104.790,  6278044.909, CH 0.000              ,        ,
       6,    10.000,      0.000,         ,         ,   240109.683,  6278036.188, CH 10.000             ,        ,
       7,    20.000,      0.000,         ,         ,   240114.577,  6278027.467, CH 20.000             ,        ,
       8,    30.000,     -0.000,         ,         ,   240119.470,  6278018.746, CH 30.000             ,        ,
       9,    40.000,     -0.000,         ,         ,   240124.364,  6278010.025, CH 40.000             ,        ,
      10,    50.000,     -0.000,         ,         ,   240129.257,  6278001.304, CH 50.000             ,        ,
      11,    60.000,      0.000,         ,         ,   240134.151,  6277992.583, CH 60.000             ,        ,
      12,    70.000,      0.000,         ,         ,   240139.044,  6277983.863, CH 70.000             ,        ,
      13,    76.217,     -0.000,         ,         ,   240142.086,  6277978.441, CH 76.217             ,        ,
      14,    80.000,     -0.000,         ,         ,   240143.947,  6277975.147, CH 80.000             ,        ,
      15,    90.000,     -0.000,         ,         ,   240148.949,  6277966.488, CH 90.000             ,        ,
      16,   100.000,      0.000,         ,         ,   240154.075,  6277957.902, CH 100.000            ,        ,
      17,   110.000,     -0.000,         ,         ,   240159.322,  6277949.389, CH 110.000            ,        ,
      18,   120.000,      0.000,         ,         ,   240164.691,  6277940.953, CH 120.000            ,        ,
      19,   130.000,      0.000,         ,         ,   240170.180,  6277932.594, CH 130.000            ,        ,
      20,   140.000,      0.000,         ,         ,   240175.788,  6277924.314, CH 140.000            ,        ,
      21,   148.871,      0.000,         ,         ,   240180.861,  6277917.037, CH 148.871            ,        ,
      22,   150.000,     -0.000,         ,         ,   240181.512,  6277916.115, CH 150.000            ,        ,
      23,   160.000,     -0.000,         ,         ,   240187.283,  6277907.948, CH 160.000            ,        ,
      24,   170.000,     -0.000,         ,         ,   240193.054,  6277899.781, CH 170.000            ,        ,
      25,   180.000,      0.000,         ,         ,   240198.824,  6277891.614, CH 180.000            ,        ,
      26,   190.000,      0.000,         ,         ,   240204.595,  6277883.447, CH 190.000            ,        ,
      27,   200.000,      0.000,         ,         ,   240210.366,  6277875.280, CH 200.000            ,        ,
      28,   210.000,      0.000,         ,         ,   240216.136,  6277867.113, CH 210.000            ,        ,
      29,   220.000,      0.000,         ,         ,   240221.907,  6277858.946, CH 220.000            ,        ,
      30,   230.000,      0.000,         ,         ,   240227.678,  6277850.779, CH 230.000            ,        ,
      31,   240.000,      0.000,         ,         ,   240233.448,  6277842.612, CH 240.000            ,        ,
      32,   250.000,      0.000,         ,         ,   240239.219,  6277834.445, CH 250.000            ,        ,
      33,   260.000,      0.000,         ,         ,   240244.990,  6277826.278, CH 260.000            ,        ,
      34,   270.000,      0.000,         ,         ,   240250.760,  6277818.111, CH 270.000            ,        ,
      35,   280.000,      0.000,         ,         ,   240256.531,  6277809.944, CH 280.000            ,        ,
      36,   290.000,      0.000,         ,         ,   240262.302,  6277801.777, CH 290.000            ,        ,
      37,   300.000,      0.000,         ,         ,   240268.072,  6277793.610, CH 300.000            ,        ,
      38,   310.000,      0.000,         ,         ,   240273.843,  6277785.443, CH 310.000            ,        ,
      39,   320.000,      0.000,         ,         ,   240279.614,  6277777.276, CH 320.000            ,        ,
      40,   330.000,     -0.000,         ,         ,   240285.384,  6277769.109, CH 330.000            ,        ,
      41,   340.000,     -0.000,         ,         ,   240291.155,  6277760.942, CH 340.000            ,        ,
      42,   350.000,     -0.000,         ,         ,   240296.925,  6277752.775, CH 350.000            ,        ,
      43,   360.000,     -0.000,         ,         ,   240302.696,  6277744.609, CH 360.000            ,        ,
      44,   370.000,     -0.000,         ,         ,   240308.467,  6277736.442, CH 370.000            ,        ,
      45,   380.000,     -0.000,         ,         ,   240314.237,  6277728.275, CH 380.000            ,        ,
      46,   388.117,      0.000,         ,         ,   240318.922,  6277721.645, CH 388.117            ,        ,
      47,   390.000,      0.000,         ,         ,   240320.008,  6277720.108, CH 390.000            ,        ,
      48,   400.000,     -0.000,         ,         ,   240325.795,  6277711.952, CH 400.000            ,        ,
      49,   410.000,      0.000,         ,         ,   240331.653,  6277703.847, CH 410.000            ,        ,
      50,   420.000,     -0.000,         ,         ,   240337.638,  6277695.837, CH 420.000            ,        ,
      51,   430.000,     -0.000,         ,         ,   240343.808,  6277687.967, CH 430.000            ,        ,
      52,   440.000,     -0.000,         ,         ,   240350.214,  6277680.289, CH 440.000            ,        ,
      53,   443.117,      0.000,         ,         ,   240352.267,  6277677.944, CH 443.117            ,        ,
      54,   450.000,     -0.000,         ,         ,   240356.903,  6277672.856, CH 450.000            ,        ,
      55,   460.000,      0.000,         ,         ,   240363.883,  6277665.696, CH 460.000            ,        ,
      56,   470.000,     -0.000,         ,         ,   240371.143,  6277658.821, CH 470.000            ,        ,
      57,   480.000,      0.000,         ,         ,   240378.673,  6277652.242, CH 480.000            ,        ,
      58,   490.000,      0.000,         ,         ,   240386.460,  6277645.969, CH 490.000            ,        ,
      59,   500.000,      0.000,         ,         ,   240394.492,  6277640.012, CH 500.000            ,        ,
      60,   510.000,     -0.000,         ,         ,   240402.755,  6277634.381, CH 510.000            ,        ,
      61,   520.000,     -0.000,         ,         ,   240411.237,  6277629.086, CH 520.000            ,        ,
      62,   530.000,      0.000,         ,         ,   240419.924,  6277624.133, CH 530.000            ,        ,
      63,   540.000,      0.000,         ,         ,   240428.802,  6277619.532, CH 540.000            ,        ,
      64,   550.000,      0.000,         ,         ,   240437.856,  6277615.290, CH 550.000            ,        ,
      65,   560.000,      0.000,         ,         ,   240447.074,  6277611.413, CH 560.000            ,        ,
      66,   570.000,     -0.000,         ,         ,   240456.439,  6277607.908, CH 570.000            ,        ,
      67,   577.614,      0.000,         ,         ,   240463.659,  6277605.492, CH 577.614            ,        ,
      68,   580.000,     -0.000,         ,         ,   240465.936,  6277604.780, CH 580.000            ,        ,
      69,   590.000,      0.000,         ,         ,   240475.545,  6277602.013, CH 590.000            ,        ,
      70,   600.000,     -0.000,         ,         ,   240485.235,  6277599.545, CH 600.000            ,        ,
      71,   610.000,     -0.000,         ,         ,   240494.981,  6277597.307, CH 610.000            ,        ,
      72,   620.000,      0.000,         ,         ,   240504.763,  6277595.229, CH 620.000            ,        ,
      73,   630.000,     -0.000,         ,         ,   240514.564,  6277593.242, CH 630.000            ,        ,
      74,   632.614,      0.000,         ,         ,   240517.127,  6277592.728, CH 632.614            ,        ,
      75,   640.000,      0.000,         ,         ,   240524.369,  6277591.278, CH 640.000            ,        ,
      76,   650.000,      0.000,         ,         ,   240534.174,  6277589.314, CH 650.000            ,        ,
      77,   660.000,      0.000,         ,         ,   240543.979,  6277587.350, CH 660.000            ,        ,
      78,   670.000,      0.000,         ,         ,   240553.785,  6277585.386, CH 670.000            ,        ,
      79,   680.000,      0.000,         ,         ,   240563.590,  6277583.422, CH 680.000            ,        ,
      80,   690.000,      0.000,         ,         ,   240573.395,  6277581.458, CH 690.000            ,        ,
      81,   700.000,      0.000,         ,         ,   240583.200,  6277579.494, CH 700.000            ,        ,
      82,   710.000,      0.000,         ,         ,   240593.006,  6277577.530, CH 710.000            ,        ,
