NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:36:06 2026

Terramodel  Project: mc90.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 2900.000 to End Ch 4420.000. Name:MC90

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
     168,  2900.000,      0.000,         ,         ,   229093.874,  6303688.776, CH 2900.000           ,        ,
     169,  2910.000,     -0.000,         ,         ,   229095.228,  6303698.684, CH 2910.000           ,        ,
     170,  2920.000,      0.000,         ,         ,   229096.582,  6303708.591, CH 2920.000           ,        ,
     171,  2930.000,     -0.000,         ,         ,   229097.937,  6303718.499, CH 2930.000           ,        ,
     172,  2940.000,      0.000,         ,         ,   229099.291,  6303728.407, CH 2940.000           ,        ,
     173,  2950.000,      0.000,         ,         ,   229100.645,  6303738.315, CH 2950.000           ,        ,
     174,  2960.000,      0.000,         ,         ,   229101.999,  6303748.223, CH 2960.000           ,        ,
     175,  2970.000,     -0.000,         ,         ,   229103.353,  6303758.131, CH 2970.000           ,        ,
     176,  2980.000,      0.000,         ,         ,   229104.707,  6303768.039, CH 2980.000           ,        ,
     177,  2990.000,     -0.000,         ,         ,   229106.061,  6303777.947, CH 2990.000           ,        ,
     178,  3000.000,      0.000,         ,         ,   229107.415,  6303787.855, CH 3000.000           ,        ,
     179,  3010.000,     -0.000,         ,         ,   229108.769,  6303797.762, CH 3010.000           ,        ,
     180,  3020.000,      0.000,         ,         ,   229110.123,  6303807.670, CH 3020.000           ,        ,
     181,  3030.000,     -0.000,         ,         ,   229111.478,  6303817.578, CH 3030.000           ,        ,
     182,  3039.044,     -0.000,         ,         ,   229112.702,  6303826.539, CH 3039.044           ,        ,
     183,  3040.000,      0.000,         ,         ,   229112.832,  6303827.486, CH 3040.000           ,        ,
     184,  3050.000,      0.000,         ,         ,   229114.198,  6303837.392, CH 3050.000           ,        ,
     185,  3060.000,     -0.000,         ,         ,   229115.583,  6303847.296, CH 3060.000           ,        ,
     186,  3069.249,      0.000,         ,         ,   229116.883,  6303856.453, CH 3069.249           ,        ,
     187,  3070.000,      0.000,         ,         ,   229116.989,  6303857.197, CH 3070.000           ,        ,
     188,  3080.000,      0.000,         ,         ,   229118.403,  6303867.096, CH 3080.000           ,        ,
     189,  3090.000,      0.000,         ,         ,   229119.817,  6303876.996, CH 3090.000           ,        ,
     190,  3100.000,     -0.000,         ,         ,   229121.231,  6303886.895, CH 3100.000           ,        ,
     191,  3110.000,     -0.000,         ,         ,   229122.645,  6303896.795, CH 3110.000           ,        ,
     192,  3120.000,     -0.000,         ,         ,   229124.058,  6303906.694, CH 3120.000           ,        ,
     193,  3130.000,     -0.000,         ,         ,   229125.472,  6303916.594, CH 3130.000           ,        ,
     194,  3140.000,      0.000,         ,         ,   229126.886,  6303926.493, CH 3140.000           ,        ,
     195,  3150.000,      0.000,         ,         ,   229128.300,  6303936.393, CH 3150.000           ,        ,
     196,  3160.000,      0.000,         ,         ,   229129.714,  6303946.293, CH 3160.000           ,        ,
     197,  3170.000,      0.000,         ,         ,   229131.128,  6303956.192, CH 3170.000           ,        ,
     198,  3180.000,     -0.000,         ,         ,   229132.542,  6303966.092, CH 3180.000           ,        ,
     199,  3190.000,     -0.000,         ,         ,   229133.956,  6303975.991, CH 3190.000           ,        ,
     200,  3200.000,     -0.000,         ,         ,   229135.370,  6303985.891, CH 3200.000           ,        ,
     201,  3210.000,      0.000,         ,         ,   229136.784,  6303995.790, CH 3210.000           ,        ,
     202,  3220.000,      0.000,         ,         ,   229138.198,  6304005.690, CH 3220.000           ,        ,
     203,  3230.000,      0.000,         ,         ,   229139.612,  6304015.589, CH 3230.000           ,        ,
     204,  3240.000,      0.000,         ,         ,   229141.026,  6304025.489, CH 3240.000           ,        ,
